index,article,tags,rating,input_tokens,output_tokens,total_tokens,url
25,"参考消息网6月19日报道 美国《国家利益》双月刊网站6月17日刊登一篇文章，标题是《以色列用哪些战斗机袭击伊朗》，作者是哈里森·卡斯。编译如下：
在最近对伊朗的空袭中，以色列部署了一系列美国制造的先进战斗机，参与袭击的3种机型是F-35I“阿迪尔”战斗机、F-16I“风暴”战斗机和F-15I“雷电”战斗机。
作为本轮针对伊朗的“崛起之狮”行动的一部分，以色列出动200多架战机，打击目标包括伊朗核设施和军事基础设施。
F-35I“阿迪尔”战斗机是美国F-35“闪电”Ⅱ型战斗机的定制型号，专为以色列空军量身定制。“阿迪尔”战斗机的特点是以色列开发的航空电子设备、电子战系统和武器，增强了该机型的隐形、精确打击和电子战能力。
在“崛起之狮”行动中，“阿迪尔”战斗机在针对伊朗境内100多个地点的袭击中发挥了重要作用，包括纳坦兹铀浓缩设施、导弹生产基地和防空系统。“阿迪尔”战斗机使以色列空军得以穿透伊朗领空，破坏S-300等先进防空系统，同时最大限度降低风险。“阿迪尔”战斗机证明了以色列在其军事行动中对先进、隐形和精确空中力量的战略重视。
F-16I“风暴”战斗机是为以色列空军研制的F-16D Block 52战斗机的特别改制型号，针对以色列独特的战略和地区需求量身定制。“风暴”战斗机在航空电子设备、生存能力、航程和武器集成方面有显著增强。
“风暴”战斗机 配备保形油箱，相对于标准型F-16，可以携带额外燃料而不占用武器舱，为纵深打击任务提供了便利。“风暴”战斗机还拥有定制的航空电子设备和任务系统，如埃尔比特系统公司的头盔显示器及数据链接，用于与其他平台进行实时协调。
在对伊朗的攻击中，通过发起电子攻击和发射假目标来分散伊朗防空系统的注意力并对其进行压制，“风暴”战斗机被用来支持隐形能力更强的“阿迪尔”战斗机。此外，“风暴”战斗机能够利用其网络作战能力，与作战空间中的其他飞机实时共享目标和威胁数据，增强整个攻击部队的态势感知能力。
F-15I“雷电”战斗机 是F-15E“攻击鹰”战斗机的大幅度修改版本，为深入敌方领土进行远程精确打击进行了优化。以色列用任务计算机、电子战系统和驾驶舱显示器对“雷电”战斗机进行了升级，还为其配备了埃尔塔公司和埃尔比特公司的航空电子设备升级版本和头盔瞄准系统。
在“崛起之狮”行动中，“雷电”战斗机被用来投送用于对加固目标进行猛烈打击的大量有效载荷。“雷电”战斗机也被用于在“阿迪尔”战斗机初步穿透后进行后续攻击，并被用于对导弹仓库、后勤中心和指挥控制中心的辅助攻击。此外，“雷电”战斗机与“风暴”战斗机平台协同使用，提供防空压制和后续突袭。
总而言之，这3款美国制造但经以色列改装的战机被证明擅长执行设计时希望它们执行的任务：深入敌方领土进行远程精确打击。（编译/裘芳）",国际 # 军事 # 政治,8,1651,10,1661,https://www.cankaoxiaoxi.com/#/detailsPage/junshi/5bde2a62e0ed4123b531bb1ae6d57439/1/2025-06-19%2015:28?childrenAlias=undefined
26,"参考消息网6月19日报道 据法国《回声报》网站6月15日报道，本届巴黎航展的飞行表演，可能与此前几届没有太大差别，“阵风”“台风”和F-35等战机仍然都是飞行员在操控。
然而，战机飞行员们在16日开幕的巴黎航展上的吸睛程度可能会有所减弱，在战场上其实也是一样。无人机在战机周围成群飞行，以穿透敌人的防空系统：这一场景可能还没有完全实现，但无人机已经成为所有航空巨头研发的对象，此外更是军用人工智能企业的目标。
德国赫尔辛公司刚刚宣布了一项和瑞典萨博集团合作试验的结果，一架配备人工智能的“鹰狮”战机比飞行员操控的战机具有更大优势。在法国，空军已经在焦急地期待达索公司的未来无人战机，希望它们去伴飞新款“阵风”战机。达索承诺，这将在2032年实现。
波音公司、洛克希德-马丁公司、空中客车防务与航天公司等业界巨头，以及安杜里尔公司等新入局者，都在今年的巴黎航展上亮相。它们都在研发自己的战机伴飞无人机，这些无人机可以诱骗和穿透敌方防空系统，然后让有人驾驶战机进入。空中优势问题从未像如今这样成为西方大国担忧的核心。
法国空天军参谋长热罗姆·贝朗热将军承认，反无人机作战、太空军事化以及核战的回归，对法国军队来说是根本问题。在回答对技术颠覆有什么主要担忧时，他毫不迟疑地说：“只有让人机结合，才能让一名飞行员比敌方更快地分析情况。”
在重新壮大武器装备之际，欧洲企业满足市场需求增长的能力，将会是巴黎航展上的主要问题。爱尔兰埃森哲公司航空和防务业务执行总监让-吕克·布兰古强调，未来的工业战略非常重要，因为欧洲将会变成全球最大的军火市场，到2030年会超过美国。
布兰古指出，为了留在赛道上，空客这样的企业应当和新入局者合作，包括无人机制造企业和人工智能企业。他认为：“军火产业应当从钢铁转向硅。”以发动机制造商赛峰集团为例，该公司最近刚刚收购了法国人工智能企业普雷利让公司。
布兰古还强调，自2022年以来，防务巨头们超过一半的收购主要集中在三个领域：人工智能、网络安全和机器对机器通信。（编译/芦龙军）",科技 # 军事 # 人工智能 # 航空航天 # 国际,8,1280,19,1299,https://www.cankaoxiaoxi.com/#/detailsPage/junshi/c7ebbc8a1f3c4bc2a8f240ab57607d32/1/2025-06-19%2012:48?childrenAlias=undefined
27,"参考消息网6月19日报道 据路透社6月17日报道，本社记者走访发现，美军又从叙利亚东北部的两个基地撤出。美国支持的叙利亚库尔德武装部队指挥官说，美军加速撤离会让“伊斯兰国”组织卷土重来。
本社记者上周走访了这两个基地，发现它们基本空空荡荡，只有少数叙利亚民主力量人员把守。这个库尔德人领导的军事集团过去十年来一直在华盛顿支持下打击“伊斯兰国”组织。
以美国为首的军事联盟所在基地使用的摄像头已经被拆除，外围的铁丝网也开始垂挂下来。
一名住在其中一个基地的库尔德政治家说，该基地已经没有美军了。另一个基地的叙利亚民主力量守卫人员说，美军最近已经离开，但他拒绝透露具体时间。五角大楼也拒绝置评。
这是记者首次实地证实美国已经从哈塞克省的瓦济尔基地和泰勒拜达尔基地撤军。自美国总统特朗普上任以来，美国至少已经从叙利亚的4个基地撤军。
特朗普政府本月表示，将减少在叙利亚的驻军，要把叙利亚民主力量控制的叙东北部地区的8个基地减少到1个。《纽约时报》4月份报道，在撤军过程中，美军数量可能从2000人减少到500人。
叙利亚民主力量没有回应有关目前美军人数和在叙利亚东北部开放的美军基地数量的问题。
但叙利亚民主力量指挥官马兹卢姆·阿卜迪对本社记者说，在一个基地驻扎几百名士兵“不足以”遏制“伊斯兰国”组织的威胁。（编译/卢荻）",国际 # 政治 # 军事,8,921,10,931,https://www.cankaoxiaoxi.com/#/detailsPage/junshi/a62ce6590161467ca1628e07f5100215/1/2025-06-19%2012:54?childrenAlias=undefined
28,"参考消息网6月17日报道 美国《国家利益》双月刊网站6月15日刊登一篇文章，标题是《俄罗斯罕见的米格-35战斗机才刚刚起步》，作者是布兰登·韦彻特。编译如下：
俄罗斯正在证明自己是一个真正的大国，拥有强大的国防工业基础，而且与西方军事战略家的期望相反，制裁无法遏制俄罗斯。俄方已熟练掌握将老旧武器系统升级改造为现代战场关键装备的技术能力。
米格-35第4++代多用途战斗机就是其中的一个。俄罗斯正着力将这个机型打造为对北约部队构成重大威胁的武器系统。该机型由俄罗斯米高扬设计局设计。米格-35战机由苏联时代传奇机型米格-29系列演化而来，俄罗斯将其定位为连接第四代与第五代战机的技术桥梁。其核心战略是与更现代的北约现役主力战机形成对抗，诸如洛克希德-马丁公司的F-35“闪电”Ⅱ型战斗机和F-16“战隼”等北约战机。
米格-35战机在2017年莫斯科航空展上首次在国际上亮相，并从2019年起列装俄罗斯空天军。该战机由2台克利莫夫RD-33MK加力式涡轮风扇发动机提供动力，在无外挂油箱的情况下，可实现2.25马赫的最大飞行速度和约1242英里（约合2000公里）的作战半径。其先进的电传系统和高机动性能让飞机胜任制空任务，同时，其与各种空对空和空对地弹药的兼容性增强了其多用途潜力。
米格-35战机的突出特点之一，是该机型装备的俄罗斯法佐特龙公司生产的“甲虫-AE”有源电子扫描阵列雷达。据报道，该雷达可以在大约100英里的距离上同时探测和跟踪多达30个目标。该雷达与现代电子战系统相结合，可以提供增强型态势感知能力及抗干扰性能。该机型进一步采用了雷达吸波涂层等低可探测性设计，尽管其隐身能力尚未达到F-35或苏-57等第五代战机的标准水平。
这些特性让米格-35战机成为一种多用途作战平台，其设计目标是在高强度对抗战场环境中同时打击空中与地面目标。
米格-35战机的开发具有双重目的。一是实现俄罗斯空军现代化，同时吸引出口客户，特别是在成本因素压倒尖端隐身技术需求的地区。
当谈到制衡北约时，米格-35战机的研发目标明确针对广泛部署的F-16和“台风”战斗机，并兼顾对抗F-35。米格-35战机的设计强调机动性、成本效益及更高的飞行员操作门槛，这与俄罗斯在空战场景中更喜欢机动性而不是隐身效果的整体作战理论保持一致。
更重要的是，米格-35战机在乌克兰等高对抗密度空域的作战能力，理论上使其具备对北约实施空战的适配性，后者高度体系化的防空网络构成重大威胁。
尽管如此，米格-35的作战历史凸显了它在有效竞争方面的困难。尽管该机型已于2019年投入使用，但据估计交付给俄罗斯空天军的数量极少，可能不足10架。因此，出于保护俄罗斯最好的空中资产的愿望，这种战机的作战用途有限。有报道称，米格-35战机在乌克兰的部署很少。最近在俄罗斯5月举行的一年一度的大规模纪念二战胜利阅兵式上，米格-35战机还被派去保卫莫斯科免受无人机袭击。
这种缺乏实战测试的情况令人质疑其在实际作战环境中的可靠性和有效性，尤其是在与F-16战机进行对比时。F-16战机拥有包括海湾战争和中东地区多场军事行动在内的丰富实战记录。
然而，今天，随着俄罗斯国防工业基础处于冷战时代以来最有效的生产水平，俄罗斯正致力于确保米格-35战机获得公平的竞争机会。莫斯科表示希望将苏-57的更多系统集成到米格-35战机中，以使其更具竞争力。目前正在推动该系统的批量生产，使其更适用于前线作战行动。
美国应该预料到，未来会有更多米格-35战机投入现役，其部署频率将逐步提升，且技术复杂度远超前代机型。（编译/杨柯）",军事 # 国际 # 政治,8,2121,10,2131,https://www.cankaoxiaoxi.com/#/detailsPage/junshi/635f5fbbc31a4b77b6c5b6f87aba46d3/1/2025-06-17%2010:41?childrenAlias=undefined
29,"参考消息网6月17日报道 《俄罗斯商业咨询日报》网站6月16日发表题为《斯德哥尔摩国际和平研究所预测新的核军备竞赛》的报道称，核武器削减时代已走向终结，核军备竞赛正逐渐加速，伴随而来的风险将比冷战时期更加复杂严峻。这是斯德哥尔摩国际和平研究所（SIPRI）分析人士得出的结论。
据报道，与20世纪不同，如今各国在网络空间、太空和海洋的能力在军备竞赛中扮演着重要角色。现在确定谁在军备竞赛中领先要困难得多，而过去用于军备控制的模式已经不够了。此外，在一些欧洲、中东和东亚国家，关于获取核武器的讨论已重新开始，这表明核国家俱乐部有扩大的潜在可能性。
分析人士指出了核武器领域的三大趋势。首先，在对核武器控制减弱的背景下，核武库的现代化正在进行中。其次，一些国家的核学说发生了变化。最后，“核共享”的实践正在扩大。
根据SIPRI的评估，截至2025年1月，全世界有12241枚核弹头。其中9614枚属于军用库存——这是指安装在导弹上、存放在作战部队军火库里的弹头，以及储存在仓库中可用于部署的弹头。剩下的2627枚属于已退役但尚未销毁的类别。
全球近90%的核武器和所有退役弹头都集中在俄罗斯和美国——它们的军用库存类型弹头分别为4309枚和3700枚。与2024年相比，它们的核武库几乎没有变化，但SIPRI指出，俄美两国都在积极推进核武器现代化，这可能“扩大它们未来的核武库规模和多样性”。这将在2026年2月《新削减战略武器条约》到期后成为可能——该条约是限制俄罗斯和美国核武库的最后一份文件。
SIPRI的评估指出，2024年美国和俄罗斯的核武器现代化计划都遇到了挑战。美国出现了规划和资金方面的问题，这可能会延长项目周期并增加成本。同时，一些数据显示，俄罗斯在2024年“萨尔马特”洲际弹道导弹试验中遇到了问题，其他系统的更新也比预期进度要慢。不过，专家们认为，在未来几年，俄罗斯和美国很可能会更积极地部署其核力量。（编译/魏良磊）",国际 # 政治 # 军事 # 核武器,8,1279,14,1293,https://www.cankaoxiaoxi.com/#/detailsPage/junshi/863052796c864d7a926cfbe20c958eba/1/2025-06-17%2010:26?childrenAlias=undefined
30,"参考消息网6月19日报道 德国新闻电视频道网站6月17日刊登题为《这就是为什么美国参战如此危险》的文章，作者是弗劳克·尼迈尔。文章摘译如下：
在以色列对伊朗的袭击中，有一点显而易见：国际原子能机构确认伊朗地上核设施遭受了严重破坏，但位于地下100米处的福尔道核设施却未遭到攻击。伊朗最宝贵的设施和技术实力都深藏于地下，迄今为止得到了很好的保护。
这会不会挑起美国参战的野心呢？特朗普最近要求德黑兰“无条件投降”，但可以预见，伊朗几乎不可能接受这一要求。那么，美国总统真的在考虑攻击伊朗吗？
虽然当前无法完全排除这一可能，但无论伊朗此刻显得多么虚弱，仍有一些因素表明美国似乎不会介入这场冲突，尤其从美国自己的视角来看。
以色列国防军预备役少将、国家安全委员会前主席吉奥拉·埃兰德说：“参战与美国总统的理念相悖。”实际上，反复无常的特朗普在这方面的看法却相当坚定——在过去20年里，美军在海外的行动并没有给美国带来好处。特朗普正急于从中东撤军，如果美国对伊朗发起军事行动，将完全违背这一方针。
“美国优先”是特朗普政府的信条，这应主要体现在经济政策上。但如果特朗普对伊朗发动大规模攻击，那么德黑兰可能会封锁霍尔木兹海峡作为回应，那里是全球最重要的航运路线之一。奥地利中东问题专家马蒂亚斯·瓦辛格上校说：“这将再次引发影响全球的冲击波。这不符合特朗普让资金回流美国的叙事。”
此外，这名军事专家认为，美国攻击伊朗的地下核设施在技术上完全可行，但风险无法估量：“一旦这些设施中的放射性物质泄漏并引发一系列后续反应，那么美国就再也无法为自己的行为辩解了。”
因此，或许到头来，参战对美国来说并不像最初看上去那样诱人。（编译/宋羽豪）",国际 # 政治 # 军事,8,1087,10,1097,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/2022c76847d44d39ae1a37f8e3e707d1/1/2025-06-19%2014:09?childrenAlias=undefined
31,"参考消息网6月19日报道 德国新闻电视频道网站6月17日刊登题为《这就是为什么美国参战如此危险》的文章，作者是弗劳克·尼迈尔。文章摘译如下：
在以色列对伊朗的袭击中，有一点显而易见：国际原子能机构确认伊朗地上核设施遭受了严重破坏，但位于地下100米处的福尔道核设施却未遭到攻击。伊朗最宝贵的设施和技术实力都深藏于地下，迄今为止得到了很好的保护。
这会不会挑起美国参战的野心呢？特朗普最近要求德黑兰“无条件投降”，但可以预见，伊朗几乎不可能接受这一要求。那么，美国总统真的在考虑攻击伊朗吗？
虽然当前无法完全排除这一可能，但无论伊朗此刻显得多么虚弱，仍有一些因素表明美国似乎不会介入这场冲突，尤其从美国自己的视角来看。
以色列国防军预备役少将、国家安全委员会前主席吉奥拉·埃兰德说：“参战与美国总统的理念相悖。”实际上，反复无常的特朗普在这方面的看法却相当坚定——在过去20年里，美军在海外的行动并没有给美国带来好处。特朗普正急于从中东撤军，如果美国对伊朗发起军事行动，将完全违背这一方针。
“美国优先”是特朗普政府的信条，这应主要体现在经济政策上。但如果特朗普对伊朗发动大规模攻击，那么德黑兰可能会封锁霍尔木兹海峡作为回应，那里是全球最重要的航运路线之一。奥地利中东问题专家马蒂亚斯·瓦辛格上校说：“这将再次引发影响全球的冲击波。这不符合特朗普让资金回流美国的叙事。”
此外，这名军事专家认为，美国攻击伊朗的地下核设施在技术上完全可行，但风险无法估量：“一旦这些设施中的放射性物质泄漏并引发一系列后续反应，那么美国就再也无法为自己的行为辩解了。”
因此，或许到头来，参战对美国来说并不像最初看上去那样诱人。（编译/宋羽豪）",国际 # 政治 # 军事 # 外交,8,1091,14,1105,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/2022c76847d44d39ae1a37f8e3e707d1/1/2025-06-19%2014:09?childrenAlias=undefined
32,"参考消息网6月19日报道 美国《纽约时报》网站6月16日刊登题为《我们的桥梁老旧，我们的电网出现故障，美国很快将会被淘汰》的文章，作者是播客主持人吉加·沙阿和新兴创意公司首席执行官拉杰·潘努。文章摘编如下：
美国正在梦游般陷入一场基础设施危机——这场危机将会悄无声息地降低我们的生活质量并且削弱我们在全球经济中的竞争能力。不仅仅是老旧基础设施需要维修和更换，还要支持新系统，比如人工智能。
这场危机要求国家重新致力于现代化——不是作为党派项目，而是作为全球竞争力、国家安全和日常生活中基本尊严的先决条件。
如今，美国桥梁的平均使用年限超过40年，其中约有4.2万座存在结构缺陷。我们的港口是工业化国家当中自动化程度最低的，这导致了更高的成本和附近社区的危险污染。
美国的电网也捉襟见肘。根据北美稳定供电公司的数据，美国去年冬季约有三分之二的地区面临停电风险上升。我们无法把电力从产能过剩的地区输送到需要的地方，因为我们没有建设足够的输电线路。在一个越来越多地由机器智能驱动的世界里，如果你的电力中断，你的经济就会停摆。
电力需求正在迅速增加。现在，训练一个大型人工智能模型所需的电力相当于美国一个大型城市社区一年的用电量。数据中心为从语言模型到高级模拟的一切东西提供动力，预计到2030年将消耗美国约10%的电力供应，而目前约为2%。除非我们积极扩大能源生产并且建设输电线路，否则未来繁荣的明灯将开始闪烁不定。
不稳定的基础设施不仅仅是科技行业的问题。在美国努力恢复制造业之际，支撑制造业的基础设施却远未准备就绪。自2021年以来，已经公布了920多家新建或扩建的制造业工厂，这些项目将在美国国内生产半导体、电动汽车、电池、关键矿物加工和其他部件。
有一段时间，美国似乎在认真对待基础设施现代化的问题：拜登政府试图加快审批，改善输电规划，并且释放了数千亿美元的联邦资金用于升级。当时确实动力十足。
自那之后，围绕政府拨款和债务上限问题反复采取边缘政策使这些成果陷入不确定状态。能源部和运输部关键办公室的资金也被推迟拨付。众议院提议取消数十亿美元的清洁能源税收抵免，并且收回未动用的《通胀削减法案》资金，这进一步打击了投资者信心。
这一切都发生在我们的竞争对手快速建设的时候。中国将在人工智能、机器人和智能基础设施方面投入巨额资金。欧洲正在对港口、公路和数字网络进行现代化改造，以保持竞争力。
提升支撑美国竞争力的基础设施应该从电网开始。国家输电战略必须成为整合清洁能源发电、大型电池和灵活性的经济政策的基石。没有它，我们就无法在需要的时候把电力输送到需要的地方，我们最有前途的技术将会消亡。
我们还必须确保美国的创新留在美国本土。联邦投资应该侧重于扩大美国发明的技术，比如先进核反应堆、清洁氨生产、关键矿物加工和下一代电池化学。它们是清洁和有韧性的未来工业基石，如果没有政府的战略支持，它们就会被建在其他地方。
如果国会和特朗普政府现在不采取行动，美国将只能在21世纪的世界里使用20世纪的工具。（编译/葛雪蕾）",科技 # 社会 # 政治,8,1631,10,1641,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/b04b518e30fc4b61b34efc445b9d35f8/1/2025-06-19%2014:06?childrenAlias=undefined
33,"参考消息网6月19日报道 日本《读卖新闻》6月18日发表题为《中东危机蔓延，当务之急是避免全面战争》的社论。内容摘译如下：
以色列与伊朗的冲突已经发展为猛烈攻击对方重要城市的非常事态。为切断相互报复的连锁反应，国际社会必须一致要求双方停火。
继空袭伊朗核设施后，以色列连日来又对伊朗的重要能源基地发动打击。目前打击范围已扩大至伊朗的国营电视台、政府机构和医院等非军事设施。另一方面，伊朗也动用导弹和无人机打击了以色列中部城市特拉维夫及其周边区域。
这一次以色列以伊朗的核研发活动威胁本国存亡为由，进行了所谓“先发制人”的打击。但是伊朗正在就核问题与美国间接谈判，谈得上对以色列的威胁已经迫在眉睫吗？
大规模军事行动导致的混乱或久拖不决，进而威胁到整个中东，这是国际社会不能允许的。
首先，对以色列拥有影响力的美国应当施加压力，要求其保持克制。
七国集团（G7）领导人峰会是一个就中东局势深入交流的好机会，特朗普总统本人也出席了会议，但还是以专心处理中东问题为由提前离场。
欧洲领导人的亲以色列立场不禁让人产生违和感。G7发表的有关中东局势的联合声明中明确提及“以色列拥有自卫权”。
这不仅不能止战，反而可能让以色列的气焰更加嚣张，更让G7存在的意义面临考验。（编译/刘林）",国际 # 政治 # 军事,8,891,10,901,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/da28592cae3e4fe8bd28d0c78e37d4e6/1/2025-06-19%2014:06?childrenAlias=undefined
34,"参考消息网6月19日报道 美国《纽约时报》网站6月16日刊登题为《特朗普的伊朗选择：最后的外交还是钻地炸弹》的文章，作者是戴维·桑格。文章摘译如下：
在以色列和伊朗之间的战事持续之际， 特朗普总统正在权衡一个关键决定：美国是否要卷入这场乱局，帮以色列摧毁深埋在福尔道地下的伊朗核浓缩设施？只有美国B-2轰炸机投下的“地堡克星”炸弹才具有这种威力。
如果他决定这样做，美国将成为中东这场新冲突的直接参与者并与伊朗为敌，从而卷入特朗普在两次竞选中都信誓旦旦要避免的那种战争。伊朗官员已经警告称，美国一旦参与对伊朗核设施的袭击，就可能毁掉达成核协议的残余可能性，而特朗普坚称自己仍希望达成这一协议。
但是，如果外交努力失败，或是伊朗方面仍然不愿屈服于特朗普的核心要求（即最终结束伊朗境内的一切铀浓缩活动），特朗普仍然可以选择下令摧毁福尔道和其他核设施。
专家们认为，只有一种武器可以完成这个任务。这种炸弹被称为重型钻地炸弹，又名GBU-57。它重达3万磅，只有B-2轰炸机才能搭载。以色列既不拥有这种炸弹，也没有能够运载它抵达目标上空的轰炸机。
“福尔道一直是这项任务的关键点，”曾为小布什和拜登等连续四位美国总统处理中东事务的布雷特·麦格克说，“如果最终福尔道仍在进行铀浓缩，那就谈不上战略胜利。”
自小布什政府以来，内塔尼亚胡一直敦促美国提供“地堡克星”，截至目前都未能如愿。
但 现在压力增加了。16日，因与内塔尼亚胡不和而辞职的以色列前国防部长约亚夫·加兰特对美国有线电视新闻网的主播说：“这件事必须做，由以色列来做、由美国来做。”他显然指的是必须由一名美国飞行员驾驶一架美国飞机投下炸弹。他说，特朗普“可以选择改变中东，影响世界”。
但在这个问题上，美国共和党人的态度并不一致，也凸显了更深层次的分歧。这不仅关系到瘫痪福尔道的离心机，还关乎“让美国再次伟大”（MAGA）的观点，即哪些战争是美国应该不惜一切代价来避免的。
共和党的反干涉派（以颇具影响力的播客主播塔克·卡尔森为代表）辩称，伊拉克和阿富汗的教训是，陷入另一场中东战争只会让美国面临衰落风险。13日，卡尔森写道，美国应该“放弃以色列”，“让他们打自己的战争”。
目前，特朗普还能两头下注。通过再一次的强制外交，他可以向MAGA的信徒证明，他正在利用重型钻地炸弹发出威胁，让这场冲突走向和平。他可以告诉伊朗人，他们必须以某种方式停止铀浓缩活动，要么通过达成外交协议，要么让GBU-57炸弹来实现这一点。
但是，如果这种说服和胁迫相结合的做法失败了，他将不得不作出决定：这是以色列的战争还是美国的战争。（编译/朱丽）",国际 # 政治 # 军事,8,1613,10,1623,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/5b1f245137b9460296ab33250c735ccc/1/2025-06-19%2014:06?childrenAlias=undefined
35,"参考消息网6月19日报道 香港《亚洲周刊》6月23日（提前出版）一期刊登题为《苏超足球火爆之风启示粤港澳》的文章。内容摘编如下：
近日，中国内地“苏超”成了流量密码。“苏超”是业余性质的江苏省城市足球联赛，由江苏省内13个城市各派一队参加。江苏省通过“玩梗”，以当地人熟知的典故、“地域黑”迅速爆红，并带动外围的文化旅游，成为全国瞩目的流量密码。
“苏超”意外爆红，一方面显示江苏主办方熟悉网络语言，另一方面也代表国民普遍厌倦国足的低水平表现，既然都是低水平，不如看令自己开心愉快的比赛。“苏超”的红火对全国来说都是重要启示，既可以通过“X超”的形式炒旺流量，吸引游客，也可以推广足球风气，播种于民间以待来日。
2023年，贵州“村超”走红。“村超”当时就与“嘉年华”式的娱乐紧密相连，中场休息和比赛结束的暖场环节则会有各个苗村侗寨自发组织的暖场活动，比如芦笙舞、木鼓、琵琶、多耶舞、少儿体操和侗族大歌等。而且“村超”每场比赛获胜的球队奖励两只猪脚，具有浓厚的乡土气息。
时隔两年，“苏超”在商业运作上更加成功，撇去了农村味，贩卖的是江苏省内“十三太保”的地域恩怨情仇。如南京与南通的“南哥德比”演变为“比赛第一，友谊第十四”的口号，无锡球迷用“水蜜桃加盐”调侃南京失利。这种地域文化在欧洲由来已久，例如英国的“玫瑰德比”，是指曼彻斯特市与利兹市的长期斗争。
“苏超”吸纳了西化的地域角力的足球文化，但却把背后的地域恶性斗争元素去除，变成彬彬有礼的良性互动，如常州对扬州游客免票、泰州向客队球迷赠送早茶，让足球变成了大众参与的文旅活动。
“苏超”红火对各大城市的旅游业都有显著促进作用，中国各地也如雨后春笋般仿效。如广东省足协官网发布通知称，2025赛季“粤超”将于7月至10月举行，共将有16支球队参赛，每队可注册三名港澳台球员，届时每场可同时上场两人。“苏超”通过地域差异创造的良性互动对“粤超”也是一个启示。
贵州“村超”与“苏超”的红火均有助于足球作为全民文化的推广，让每个人都有参与足球运动的机会，不只是喝着啤酒、嚼着薯片在电视机前看热闹，而是有机会站在绿茵场上献技较量。
中国足球长远要两条腿走路，既要办好以全民运动推广为目标的“村超”“苏超”，也要办好以职业化、高竞技水平、可以立足于世界顶尖水平之林的“中超”。前者让大众有参与的机会，后者则是让中国职业球员可以接受高水平的竞技，与世界接轨。",体育 # 社会 # 教育 # 娱乐,8,1550,15,1565,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/efe8938d005a4fd9ad1af4b0520cd5a3/1/2025-06-19%2014:49?childrenAlias=undefined
36,"参考消息网6月19日报道 俄罗斯《消息报》网站6月17日刊登题为《中式外交》的文章，作者是达里娅·萨普伦斯卡娅。文章摘编如下：
近年来，中国成功重构了与中亚国家的合作方式：“C5+1”(中亚五国+中国)形式的部长级会议从2020年起开始举办。2023年中国和中亚国家在西安举行首届中国—中亚峰会并签署《西安宣言》后，中国国家主席习近平提出的人类命运共同体理念开始在中亚得到积极推行。第二届中国—中亚峰会17日在哈萨克斯坦举行，它是中亚国家与中国有关合作方向的对话的延续。
本届峰会和习近平主席此次哈萨克斯坦之行一样，都是在世界冲突激化和国际政治局势复杂化的背景下进行的。一些媒体称，中国希望建立一个在未来中美对抗中可以依靠的“忠诚联盟”。但中方始终坚持与中亚和平共处的理念，从峰会上讨论的内容看，核心议程也与此无关。
显然，习近平主席的访问侧重于该地区发展的几个关键要点——能源、运输走廊和数字化。当然，峰会期间签署的文件不会仅限于这三方面，因为与中国合作的机会正变得越来越多。例如，在哈萨克斯坦，不仅传统的中文学习中心纷纷涌现，还成立了不少研究中国现代化、科学和技术转让问题的专门分析机构。换句话说，中方正在各领域积极开展活动以加强协作，而且这些活动也相当富有成效。
对于中亚而言，与中国的经济协作拥有坚实基础。例如，哈萨克斯坦总统托卡耶夫称，“中国在讨论大型经济项目时从不附加政治条件”，而且能快速履行所有协议。对于该地区国家来说，这一论断十分重要，因为它们正在与中方实施众多经济项目。
回到经济问题上，能源对中国很重要。尽管世界经济出现了某种减速，但中国的实力并未减弱，因此市场需求没有下降。有消息称，哈萨克斯坦已与中国电力建设集团在第二届中国—中亚峰会期间签署了协议。
中国对中亚国家基础设施和物流潜力的建设已实施相当长时间。除了共建“一带一路”倡议框架内的项目外，中国还积极吸引中亚参与中巴经济走廊建设。这一战略中的关键项目包括已启动的中吉乌铁路和对跨阿富汗铁路的支持。
所有这些项目不仅能通过促进贸易交流来改变该地区状况，还将成为向世界传播中国理念的支持性力量。（编译/刘洋）",国际 # 政治 # 经济 # 一带一路,8,1290,13,1303,https://www.cankaoxiaoxi.com/#/detailsPage/guandian/0d49808c0ebb4ea682a049170d47d680/1/2025-06-19%2009:14?childrenAlias=undefined
37,"外文全称：GlobalEye
中文译名：“全球眼”预警机
背景介绍：据路透社6月18日报道，法国已签署意向声明，将从瑞典萨博集团购买两架“全球眼”预警机。2018年2月，萨博推出了第一架“全球眼”预警机并在同年3月进行了首飞。“全球眼”装载了“爱立眼”机载预警雷达，该雷达重约1吨，安装在机身上部，其作用距离可达550公里。“全球眼”可同时执行空中、海上和地面监视任务。",科技 # 军事 # 国际,8,471,10,481,https://www.cankaoxiaoxi.com/#/detailsPage/ym/f3748c8266bd496f93a0351d572dcd38/1/2025-06-19%2010:48?childrenAlias=undefined
